City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Susangerd,IR,31.5608,48.1831,64.42,28,94,11.59,overcast clouds
143,South Lake Tahoe,US,38.9332,-119.9844,43.84,46,64,3.22,broken clouds
144,Katsuura,JP,35.1333,140.3,48.31,62,0,9.4,clear sky
145,Ilulissat,GL,69.2167,-51.1,9.39,87,82,9.6,broken clouds
146,Khatanga,RU,71.9667,102.5,-19.25,98,100,12.93,overcast clouds
147,Caravelas,BR,-17.7125,-39.2481,81.03,69,100,9.35,moderate rain
148,Butaritari,KI,3.0707,172.7902,82.15,69,52,14.99,broken clouds
149,Siocon,PH,7.7061,122.1353,77.59,89,100,7.9,overcast clouds
150,Viedma,AR,-40.8135,-62.9967,67.87,29,24,15.82,few clouds
151,San Nicolas,PH,18.1725,120.5953,73.31,68,75,5.75,broken clouds
152,Lagoa,PT,39.05,-27.9833,63.61,78,0,12.46,clear sky
153,Simao,CN,22.7886,100.9748,50.77,90,48,2.57,scattered clouds
154,Yagoua,CM,10.3411,15.2329,92.86,20,3,2.77,clear sky
155,Mount Isa,AU,-20.7333,139.5,87.57,25,40,8.05,light rain
156,Torbay,CA,47.6666,-52.7314,49.15,98,90,29.93,moderate rain
157,Muzhi,RU,65.3667,64.6667,1.76,97,100,2.86,overcast clouds
158,Airai,TL,-8.9266,125.4092,62.71,90,100,1.03,overcast clouds
159,La Rioja,ES,42.25,-2.5,45.05,89,73,4.99,broken clouds
160,Eureka,US,40.8021,-124.1637,43.99,85,76,3.36,broken clouds
161,Egvekinot,RU,66.3167,-179.1667,25.07,99,100,11.61,snow
162,Fortuna,US,40.5982,-124.1573,43.72,100,90,0.0,overcast clouds
163,Kavaratti,IN,10.5669,72.642,82.15,73,25,3.36,scattered clouds
164,Roebourne,AU,-20.7833,117.1333,87.44,41,6,14.2,clear sky
165,La Ferte-Bernard,FR,48.1863,0.6536,49.51,98,100,13.33,overcast clouds
166,Cascais,PT,38.6979,-9.4215,62.46,56,0,15.01,clear sky
167,Sitka,US,57.0531,-135.33,30.09,86,90,12.66,light snow
168,Grand Forks,US,47.9417,-97.4337,29.59,77,82,11.12,broken clouds
169,Ponta Delgada,PT,37.7333,-25.6667,67.5,88,75,5.75,broken clouds
170,Buala,SB,-8.145,159.5921,79.2,82,93,4.27,light rain
171,Abu Samrah,SY,35.3029,37.1841,54.59,53,61,7.52,broken clouds
172,Tigil,RU,57.8,158.6667,22.57,84,69,17.07,broken clouds
173,Barrow,US,71.2906,-156.7887,-18.38,69,20,23.02,few clouds
174,Changping,CN,40.2186,116.2197,37.04,38,1,6.93,clear sky
175,Fiumicino,IT,41.7675,12.2291,55.98,69,20,6.91,few clouds
176,Pangnirtung,CA,66.1451,-65.7125,17.6,79,75,8.05,broken clouds
177,Dingle,PH,10.9995,122.6711,73.89,88,86,8.08,overcast clouds
178,Puerto Escondido,MX,15.85,-97.0667,84.7,47,5,3.36,clear sky
