City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
65,Lebu,CL,57.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
66,New Norfolk,AU,54.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
68,Coihaique,CL,61.41,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
69,Ancud,CL,60.33,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
70,Ruwi,OM,75.97,clear sky,23.5996,58.5507,Al Falaj Hotel
71,Margherita,IN,64.81,overcast clouds,27.2833,95.6833,Dehing Guest House
73,Unai,BR,87.73,broken clouds,-16.3575,-46.9061,Hotel Regente
74,Moratuwa,LK,82.42,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
75,Mar Del Plata,AR,73.42,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Bredasdorp,ZA,67.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
77,Kapaa,US,73.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Nizwa,OM,71.87,clear sky,22.9333,57.5333,Orient Apartments
82,Magelang,ID,76.75,overcast clouds,-7.4706,110.2178,Puri Asri Magelang Hotel & Resort
83,Alice Springs,AU,72.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
84,Laguna,US,62.01,fog,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
85,Mangan,IN,64.69,broken clouds,27.5167,88.5333,Hotel Mout View
86,Salalah,OM,76.06,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
87,Tuatapere,NZ,58.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
89,Nanortalik,GL,24.76,few clouds,60.1432,-45.2371,Hotel Kap Farvel
90,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
94,Hobyo,SO,80.01,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
95,Shadegan,IR,64.35,scattered clouds,30.6497,48.6647,مسافر خانه ابو ولید
96,Acapulco,MX,82.18,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
98,Vaini,TO,73.56,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
100,Jaumave,MX,66.96,scattered clouds,23.4167,-99.3833,HOTEL CIENEGA
102,Cidreira,BR,70.97,broken clouds,-30.1811,-50.2056,Hotel Castelo
103,Karasuk,RU,21.18,clear sky,53.7377,78.0403,London Siti Otel'
104,Fare,PF,80.92,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
105,Chuy,UY,69.31,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
106,El Tigre,VE,86.85,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
108,Union,US,48.29,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
110,Cape Town,ZA,68.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
112,Bage,BR,76.78,broken clouds,-31.3314,-54.1069,Hotel Obino - Bagé
113,Porto Belo,BR,76.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
114,Voh,NC,75.78,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
115,Lorengau,PG,81.75,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
116,Constitucion,CL,63.59,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
117,Carinhanha,BR,87.46,overcast clouds,-14.3047,-43.765,Hotel União
118,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
119,Shingu,JP,45.97,few clouds,33.7333,135.9833,Shingu UI Hotel
120,Dafeng,CN,58.32,broken clouds,23.4517,108.5881,Shenglong Hotel
122,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,Ewo,CG,81.7,light rain,-0.8725,14.8206,Residence Elonda Ewo
124,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
128,Husavik,IS,21.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
129,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
134,Waipawa,NZ,60.46,light rain,-41.4122,175.5153,Tora Coastal Walk
136,Ankara,TR,43.72,clear sky,39.9199,32.8543,Ramada by Wyndham Ankara
138,Inhambane,MZ,84.18,few clouds,-23.865,35.3833,Oceano
139,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
141,Panyutyne,UA,48.74,broken clouds,48.9333,36.2833,TIR стоянка
142,Susangerd,IR,64.42,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
143,South Lake Tahoe,US,43.84,broken clouds,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
144,Katsuura,JP,48.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
147,Caravelas,BR,81.03,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
148,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
149,Siocon,PH,77.59,overcast clouds,7.7061,122.1353,ABS Hotel
150,Viedma,AR,67.87,few clouds,-40.8135,-62.9967,Hotel Cristal
151,San Nicolas,PH,73.31,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
152,Lagoa,PT,63.61,clear sky,39.05,-27.9833,Casa Das Faias
153,Simao,CN,50.77,scattered clouds,22.7886,100.9748,Changyu Hotel
155,Mount Isa,AU,87.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Torbay,CA,49.15,moderate rain,47.6666,-52.7314,Gallows Cove
158,Airai,TL,62.71,overcast clouds,-8.9266,125.4092,Juvinal Martin
159,La Rioja,ES,45.05,broken clouds,42.25,-2.5,Casa Concejos
160,Eureka,US,43.99,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
162,Fortuna,US,43.72,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
163,Kavaratti,IN,82.15,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
164,Roebourne,AU,87.44,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
165,La Ferte-Bernard,FR,49.51,overcast clouds,48.1863,0.6536,Brit Hotel La Ferté-Bernard
166,Cascais,PT,62.46,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
167,Sitka,US,30.09,light snow,57.0531,-135.33,Westmark Sitka
168,Grand Forks,US,29.59,broken clouds,47.9417,-97.4337,Warrior Inn
169,Ponta Delgada,PT,67.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
170,Buala,SB,79.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
172,Tigil,RU,22.57,broken clouds,57.8,158.6667,Tigil'
174,Changping,CN,37.04,clear sky,40.2186,116.2197,Huachang Hotel
175,Fiumicino,IT,55.98,few clouds,41.7675,12.2291,Al Porticciolo Hotel
177,Dingle,PH,73.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
178,Puerto Escondido,MX,84.7,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
180,Kondinskoye,RU,22.1,overcast clouds,59.6481,67.41,Gostinitsa
181,Antofagasta,CL,70.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
182,Marsabit,KE,72.79,broken clouds,2.3284,37.9899,Chicho Hotel
